filename,foldername,labels
Tamil-127.wav,Tamil,2
Tamil-362.wav,Tamil,2
Kannada-293.wav,Kannada,1
Telugu-338.wav,Telugu,3
Telugu-223.wav,Telugu,3
Hindi-436.wav,Hindi,0
Kannada-185.wav,Kannada,1
Tamil-307.wav,Tamil,2
Tamil-358.wav,Tamil,2
Tamil-492.wav,Tamil,2
Kannada-249.wav,Kannada,1
Telugu-374.wav,Telugu,3
Hindi-256.wav,Hindi,0
Telugu-206.wav,Telugu,3
Telugu-364.wav,Telugu,3
Kannada-72.wav,Kannada,1
Hindi-139.wav,Hindi,0
Telugu-177.wav,Telugu,3
Tamil-56.wav,Tamil,2
Tamil-493.wav,Tamil,2
Telugu-32.wav,Telugu,3
Telugu-493.wav,Telugu,3
Kannada-0.wav,Kannada,1
Hindi-345.wav,Hindi,0
Hindi-42.wav,Hindi,0
Tamil-381.wav,Tamil,2
Hindi-137.wav,Hindi,0
Kannada-354.wav,Kannada,1
Kannada-314.wav,Kannada,1
Kannada-86.wav,Kannada,1
Telugu-192.wav,Telugu,3
Tamil-63.wav,Tamil,2
Hindi-359.wav,Hindi,0
Hindi-58.wav,Hindi,0
Telugu-289.wav,Telugu,3
Hindi-384.wav,Hindi,0
Kannada-47.wav,Kannada,1
Kannada-100.wav,Kannada,1
Hindi-419.wav,Hindi,0
Telugu-391.wav,Telugu,3
Telugu-217.wav,Telugu,3
Hindi-389.wav,Hindi,0
Telugu-24.wav,Telugu,3
Telugu-351.wav,Telugu,3
Hindi-224.wav,Hindi,0
Tamil-86.wav,Tamil,2
Hindi-3.wav,Hindi,0
Hindi-248.wav,Hindi,0
Kannada-143.wav,Kannada,1
Telugu-87.wav,Telugu,3
Tamil-442.wav,Tamil,2
Tamil-339.wav,Tamil,2
Telugu-317.wav,Telugu,3
Hindi-379.wav,Hindi,0
Tamil-360.wav,Tamil,2
Tamil-261.wav,Tamil,2
Kannada-245.wav,Kannada,1
Tamil-167.wav,Tamil,2
Tamil-171.wav,Tamil,2
Telugu-449.wav,Telugu,3
Hindi-421.wav,Hindi,0
Kannada-122.wav,Kannada,1
Telugu-124.wav,Telugu,3
Telugu-486.wav,Telugu,3
Telugu-476.wav,Telugu,3
Telugu-251.wav,Telugu,3
Kannada-279.wav,Kannada,1
Tamil-101.wav,Tamil,2
Tamil-497.wav,Tamil,2
Hindi-285.wav,Hindi,0
Telugu-255.wav,Telugu,3
Hindi-143.wav,Hindi,0
Hindi-353.wav,Hindi,0
Tamil-466.wav,Tamil,2
Hindi-176.wav,Hindi,0
Hindi-339.wav,Hindi,0
Hindi-343.wav,Hindi,0
Tamil-74.wav,Tamil,2
Telugu-194.wav,Telugu,3
Telugu-59.wav,Telugu,3
Kannada-177.wav,Kannada,1
Tamil-180.wav,Tamil,2
Tamil-353.wav,Tamil,2
Hindi-157.wav,Hindi,0
Hindi-78.wav,Hindi,0
Kannada-213.wav,Kannada,1
Tamil-133.wav,Tamil,2
Hindi-39.wav,Hindi,0
Telugu-142.wav,Telugu,3
Telugu-111.wav,Telugu,3
Telugu-233.wav,Telugu,3
Hindi-169.wav,Hindi,0
Telugu-418.wav,Telugu,3
Hindi-86.wav,Hindi,0
Telugu-186.wav,Telugu,3
Kannada-455.wav,Kannada,1
Kannada-397.wav,Kannada,1
Kannada-224.wav,Kannada,1
Telugu-388.wav,Telugu,3
Hindi-395.wav,Hindi,0
Tamil-253.wav,Tamil,2
Tamil-397.wav,Tamil,2
Telugu-264.wav,Telugu,3
Telugu-132.wav,Telugu,3
Hindi-283.wav,Hindi,0
Hindi-222.wav,Hindi,0
Kannada-309.wav,Kannada,1
Telugu-376.wav,Telugu,3
Hindi-1.wav,Hindi,0
Telugu-104.wav,Telugu,3
Hindi-213.wav,Hindi,0
Telugu-241.wav,Telugu,3
Hindi-172.wav,Hindi,0
Kannada-485.wav,Kannada,1
Hindi-232.wav,Hindi,0
Hindi-64.wav,Hindi,0
Hindi-67.wav,Hindi,0
Telugu-443.wav,Telugu,3
Kannada-123.wav,Kannada,1
Hindi-240.wav,Hindi,0
Hindi-409.wav,Hindi,0
Tamil-196.wav,Tamil,2
Hindi-431.wav,Hindi,0
Kannada-36.wav,Kannada,1
Telugu-464.wav,Telugu,3
Kannada-3.wav,Kannada,1
Telugu-272.wav,Telugu,3
Kannada-138.wav,Kannada,1
Hindi-249.wav,Hindi,0
Hindi-352.wav,Hindi,0
Telugu-274.wav,Telugu,3
Kannada-107.wav,Kannada,1
Telugu-283.wav,Telugu,3
Hindi-229.wav,Hindi,0
Tamil-346.wav,Tamil,2
Kannada-327.wav,Kannada,1
Telugu-33.wav,Telugu,3
Telugu-58.wav,Telugu,3
Tamil-204.wav,Tamil,2
Hindi-47.wav,Hindi,0
Hindi-311.wav,Hindi,0
Kannada-160.wav,Kannada,1
Tamil-331.wav,Tamil,2
Telugu-369.wav,Telugu,3
Hindi-485.wav,Hindi,0
Hindi-284.wav,Hindi,0
Kannada-171.wav,Kannada,1
Hindi-355.wav,Hindi,0
Kannada-215.wav,Kannada,1
Kannada-260.wav,Kannada,1
Hindi-36.wav,Hindi,0
Telugu-120.wav,Telugu,3
Telugu-203.wav,Telugu,3
Telugu-8.wav,Telugu,3
Tamil-407.wav,Tamil,2
Hindi-364.wav,Hindi,0
Kannada-7.wav,Kannada,1
Tamil-422.wav,Tamil,2
Telugu-126.wav,Telugu,3
Hindi-59.wav,Hindi,0
Tamil-249.wav,Tamil,2
Hindi-430.wav,Hindi,0
Kannada-449.wav,Kannada,1
Hindi-247.wav,Hindi,0
Telugu-336.wav,Telugu,3
Hindi-178.wav,Hindi,0
Tamil-43.wav,Tamil,2
Telugu-102.wav,Telugu,3
Tamil-405.wav,Tamil,2
Tamil-36.wav,Tamil,2
Hindi-95.wav,Hindi,0
Tamil-467.wav,Tamil,2
Tamil-190.wav,Tamil,2
Hindi-351.wav,Hindi,0
Hindi-477.wav,Hindi,0
Kannada-190.wav,Kannada,1
Kannada-216.wav,Kannada,1
Telugu-0.wav,Telugu,3
Telugu-22.wav,Telugu,3
Telugu-490.wav,Telugu,3
Telugu-188.wav,Telugu,3
Tamil-326.wav,Tamil,2
Kannada-386.wav,Kannada,1
Telugu-171.wav,Telugu,3
Tamil-315.wav,Tamil,2
Tamil-205.wav,Tamil,2
Kannada-11.wav,Kannada,1
Kannada-25.wav,Kannada,1
Kannada-343.wav,Kannada,1
